,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,good place to work,4.0,"good brand
noce cork culture
high growth
best in class product","compensation is ok, raises are average
WLB is okay",Be the first to find this review helpful,2021-06-27, Product Manager ,Austin, TX,Current Employee, more than 5 years
1,Chaotic,3.0,Growing well and good public image,Lots of old schoolers and manager pleasing,Be the first to find this review helpful,2021-06-25, Marketing Director ,Sunnyvale, CA,Former Employee, more than 1 year
2,AMD is mediocre on compensation wise,3.0,"Working environment and culture is friendly and good, not hard pressure for most of time.","Compensations (salary, stock and bonus) are mediocre. No big stimulus for performance.",Be the first to find this review helpful,2021-06-25, MTS1 Software Engineer ,Toronto, ON,Current Employee,
3,Good Work Environment,5.0,Very Good Work Culture and helping teammates.,Not that I know of,Be the first to find this review helpful,2021-06-25, Silicon Design Engineer ,,,Current Employee,
4,Marketing OPS,5.0,Lots of exposure and Learning,"as per my experience, i never faced any trouble",Be the first to find this review helpful,2021-06-24, Channel Marketing Specialist ,Gurgaon," Haryana, Haryana",Current Employee, more than 8 years
5,Good place to work,4.0,"Cutting edge designs, good people to work with",Do not compete on salary with similar companies,Be the first to find this review helpful,2021-06-24, Silicon Design Engineer ,Toronto, ON,Current Employee, more than 8 years
6,Good overall,4.0,Great culture; Good benefit; Good management,Sometime too busy; not much work life balance,Be the first to find this review helpful,2021-06-23, Member of Technical Staff(MTS) ,Markham, ON,Current Employee, more than 3 years
7,Good company to start your career at,4.0,Good to jump start engineering career,Never commits to anything fully,Be the first to find this review helpful,2021-06-22, Anonymous Employee ,,,Former Employee, more than 8 years
8,Great Company,5.0,Growing and ambitious organization on the rise,growing bureaucracy and less dynamic work enviroment,Be the first to find this review helpful,2021-06-21, Anonymous Employee ,,,Current Employee, more than 3 years
9,Work-Life Balance and vacation time are horrible,4.0,Great co-workers— really smart and interesting.,"Vacation is a joke. You get 15 days, but they micro-manage it to the hour. Hav3 a flight that leaves at 3:30? Expect to take half a day off. Also, they give you three floating holidays, but stipulate the days you can take them. (And forget about taking them together.) All this, but the business expects you to be at the ready every time a 9:30 or 10pm meeting shows up in your calendar.",Be the first to find this review helpful,2021-06-21, Marketing ,,,Current Employee, more than 1 year
10,Best Company!,5.0,"Teammates are very nice and helpful
Career Growth
Events to bond with your team
Latest Technology in the industry","pay is a little below average compared to other big tech names

workload due to being understaffed",Be the first to find this review helpful,2021-06-21, IC Layout Designer ,,,Current Employee, more than 1 year
11,Benefits Best But Non-Professional Audio Manager.,2.0,"1.Super Employee Benefits.
2.AMD Brand.
3.Good Road Map of projects","Company Gives Money. 
But workspace environment need to be created by Manager. 
Worst Management.
Mainly Multi Media Audio group is full of politics and personal grudges.
Need to be puppets of Manager.. Bare Manager ego and over aggressiveness.
Non-Professional Manager.
Team really need good management. 
Worst HR friendly system.",Be the first to find this review helpful,2021-06-21, Member Of Technical Staff ,Hyderābād,,Former Employee, more than 5 years
12,Amazing Projects,5.0,Amazing Projects and team enviroement,There are no cons in my opinion,Be the first to find this review helpful,2021-06-19, Senior Physical Design Engineer ,Toronto, ON,Current Employee, more than 5 years
13,good work,4.0,cool new technology very good,could pay more for work,Be the first to find this review helpful,2021-06-17, Verification Engineer ,Toronto, ON,Current Employee,
14,Chaos everywhere,3.0,"Pay better salary than market.
Free gym membership.
Decent benefits 
3% 401K matching.","Status quo is a big problem
No work life balance, management expect to work on every weekends.
Everything is priority and escalation on daily basis.
Morning start with a new fire.
Incompetent managers.",Be the first to find this review helpful,2021-06-16, Purchaser ,Austonio, TX,Former Employee, more than 3 years
15,job scope,3.0,"good environment, good benefit, policy ok","not work life balance, need work on sunday sometimes.",Be the first to find this review helpful,2021-06-15, Systems Engineer ,,,Current Employee, less than 1 year
16,Great company for CPU and GPU,4.0,could know and study leading technology,each person only evolved in a piece of job,Be the first to find this review helpful,2021-06-15, Digital IC Engineer ,Shanghai," Shanghai, Shanghai",Former Employee,
17,Great place,4.0,Good place to learn tech,Lot of work and less people,Be the first to find this review helpful,2021-06-15, Senior Engineer ,Markham, ON,Current Employee, more than 1 year
18,Great company with good people,4.0,"- Very technical centric
- Good and talented people",- Relative lower pay compared to the peers,Be the first to find this review helpful,2021-06-15, Anonymous Employee ,Shanghai," Shanghai, Shanghai",Current Employee, more than 10 years
19,Good company,5.0,Good culture and nice coworkers,Working with overseas teams blah.,Be the first to find this review helpful,2021-06-14, Test Engineer ,Austin, TX,Current Employee, more than 8 years
20,Best in  the industry,5.0,Lot of growth in the career,none that comes to the mind,Be the first to find this review helpful,2021-06-12, Anonymous Employee ,,,Current Employee,
21,Why should u work at AMD?,4.0,Vibrant work culture and good work life balance,Sometimes the work becomes monotonous,Be the first to find this review helpful,2021-06-11, Design Verification Engineer ,,,Current Employee,
22,Bas experience,2.0,Nothing much to say for Pros,"Political environment, hierarchical. , employees are treated as machines",Be the first to find this review helpful,2021-06-10, Human Resources Business Partner HRBP ,Austin, MN,Current Employee,
23,AMD review,4.0,Great place to work learn and grow.,"Compensation/Perks/Bonuses are below average.
For the longest time, you won't find a substantial difference in your compensation.",1 person found this review helpful,2021-06-09, Silicon Design Engineer II ,Boxborough, MA,Current Employee, more than 1 year
24,good,5.0,good company to work with,poor people management to work under,Be the first to find this review helpful,2021-06-09, Senior Commodity Manager ,Singapore,,Current Employee,
25,Good,5.0,Good benefits and team environment,High demand very long hours,Be the first to find this review helpful,2021-06-08, Software Engineer ,Toronto, ON,Current Employee,
26,Good company to work with,5.0,Good overall as of now,No cons as of now,Be the first to find this review helpful,2021-06-07, Software Systems Designer I ,,,Current Employee,
27,good work life balance,4.0,"Work life balance, friendly colleagues",lack of career path and development,Be the first to find this review helpful,2021-06-07, Anonymous Employee ,Singapore,,Former Employee, more than 1 year
28,Good Brand to work with,3.0,"Lot of work
Job stability
New technologies to learn","No promotions, Lot of favouritism, Senior management at site level don't work",Be the first to find this review helpful,2021-06-07, Senior Engineer ,,,Current Employee, more than 5 years
29,Good,4.0,Good work environment and friendly people,Growth path is slow and pace is slow,Be the first to find this review helpful,2021-06-06, Anonymous Employee ,,,Former Employee,
30,Experience will largely depend on which team you join,4.0,"Laid back, not uptight culture
Some degree of respect for work/life balance, depends on time of year and team","Some features get pushed through because its was some senior person's pet project, not because it had proper justification
Perpetual understaffing of certain roles, need to be able to assess what is worth doing independently from management",Be the first to find this review helpful,2021-06-02, Software Engineer ,,,Current Employee,
31,Best company to work for,5.0,An excellent work culture that one would love to work in,Financials may not be matching with peer companies,Be the first to find this review helpful,2021-05-31, PMTS Software Design Engineer ,Hyderābād,,Current Employee, more than 3 years
32,Good company,4.0,Good culture and technology innovation,"pay is not that high, less promotion opportunity",Be the first to find this review helpful,2021-05-31, Member of Technical Staff(MTS) ,Singapore,,Former Employee, more than 5 years
33,Design engineer,5.0,Innovative company for learning across,Not sure at this point,Be the first to find this review helpful,2021-05-29, Anonymous Employee ,,,Current Employee, more than 3 years
