,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,An abundance of benefits and resources that enable you to bring your whole self to work,5.0,"Innovative product
Work life harmony
Employee focused experience","Fragmented and unclear decision making process
Pace of change can be both slow and fast",Be the first to find this review helpful,2021-06-28, Human Resources ,Lehi, UT,Former Employee, less than 1 year
1,Great culture but inconsistent across different teams and units,5.0,Adobe overall is very inclusive and everyone has great intentions.,Executives shape their own team culture and it's not always in line with Adobe's values.,Be the first to find this review helpful,2021-06-28, Senior Director ,San Jose, CA,Former Employee, more than 3 years
2,Best place to work,5.0,Great salary and culture. Mature people,Promotions take a long time,Be the first to find this review helpful,2021-06-26, Project Manager ,San Jose, CA,Current Employee, more than 1 year
3,Great Place to Work,5.0,"professional stipend, wellness stipend, work life balance","slow promotion cycle, management not the most transparent at times",Be the first to find this review helpful,2021-06-25, Solutions Consultant ,New York, NY,Current Employee, more than 1 year
4,Best company I have ever worked for.,5.0,Hands down the best company I have ever worked for.,None that I can think of,Be the first to find this review helpful,2021-06-25, Security Engineer Intern ,San Jose, CA,Current Employee, less than 1 year
5,Never thought my first job out of college would become a career,5.0,"Great work life balance, exciting tech and innovation, great people and culture","Upwards mobility can be challenging, have found myself silo'd in the past",Be the first to find this review helpful,2021-06-23, Software Engineer ,Seattle, WA,Current Employee,
6,Best company I've ever worked for,5.0,Great place to growth your career,It would be nice to offer free lunch to be comparable with other nearby tech firm.,Be the first to find this review helpful,2021-06-23, Computer Scientist ,Seattle, WA,Current Employee, more than 10 years
7,"Decent, depending on team",3.0,"-Competitive Salary
-Stellar benefits
-Great perks, teams, and facility","-some teams are much more ""pedal to the metal"" than others. If you are on one of these teams, it can greatly impact work-life balance, which is frustrating when other teams even in the same department do not have the same work-life quality issues.",Be the first to find this review helpful,2021-06-22, Operations Analyst ,Lehi, UT,Current Employee, more than 1 year
8,BDR,5.0,"best company, love the culture have no negatives to say","none, except it can be difficult to move up to different roles",Be the first to find this review helpful,2021-06-22, Senior Business Development Representative ,Los Angeles, CA,Current Employee,
9,Wonderful and supportive work environment,5.0,"I really love the corporate support for flexible work environments, community service, and taking real action on diversity and inclusiveness!",Opportunities for advancement beyond staff role is still a work in progress,Be the first to find this review helpful,2021-06-22, Senior Machine Learning Engineer ,Seattle, WA,Current Employee,
10,Great company,5.0,"Great perks, work / life balance",Sometimes old school in the approach,Be the first to find this review helpful,2021-06-17, Senior Product Designer ,New York, NY,Current Employee,
11,Best company I have ever worked for,5.0,"Adobe is a great company to work for. It actively promotes a culture of being the best version of yourself and incentives you to becoming that. I have worked in other high tech companies and the grind can be overwhelming, However Adobe’s approach is different in that they recognize that if everyone is the striving to be better then the company is also the best version of itself.","There are a lot of people that have many years working for the company, people love working here and I think attrition is low, which itself is actually a pro but it makes upward movement only possible by growing the organization which is a pro and a con.",Be the first to find this review helpful,2021-06-17, Senior Software Architect ,Lehi, UT,Current Employee,
12,Great company,4.0,"Trust
Enablement focused
Friendly
Challenging (in a good way!)","Initiatives are dropped randomly, and consulting element can be difficult to adjust to as engineer.",Be the first to find this review helpful,2021-06-16, Data Engineer ,New York, NY,Current Employee, more than 1 year
13,Adobe for all,4.0,Adobe places an emphasis on making sure that their employees are happy and well taken care of.,"As can be expected of an influential tech company, job mobility and advancing your career can be very competitive and difficult without leaving the company and then coming back after experience elsewhere.",Be the first to find this review helpful,2021-06-16, Global Operations Center Manager ,Lehi, UT,Current Employee, more than 5 years
14,Great Company,5.0,Great culture! People there were amazing,I did not have a negative experience,Be the first to find this review helpful,2021-06-15, Anonymous Employee ,Atlanta, GA,Former Employee,
15,Associate Delivery Consultant,5.0,"Fantastic employees, everyone is great to work with",Pay is below the industry average,Be the first to find this review helpful,2021-06-15, Associate Delivery Consultant ,New York, NY,Current Employee, more than 1 year
16,Have worked here for many years.  Great company to work for.,5.0,"Great benefits, good ethical culture.",Things sometimes move slow and customer engagement is lacking in some areas.,Be the first to find this review helpful,2021-06-14, Customer Enablement Engineer ,Alameda, CA,Current Employee,
17,Excellent Company,5.0,"Great Benefits, Good People, Strong Leadership","None, None, None, None, None",Be the first to find this review helpful,2021-06-13, Product Manager ,San Francisco, CA,Current Employee, more than 8 years
18,great place to work!,5.0,"amazing benefits and people, good work/life balance",would be nice to have free food but that's just a perk,Be the first to find this review helpful,2021-06-10, Executive Assistant ,San Jose, CA,Current Employee,
