,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,Best way to gain real world knowledge,5.0,"- Very hands-on
- Best place to gain knowledge about distributed systems",Nothing I can really think of,Be the first to find this review helpful,2021-06-25, Software Engineer II ,,,Former Employee, more than 1 year
1,Employee Friendly,4.0,"Employee First
Good people 
Fast paced",Very Ad hoc work not for everyone,Be the first to find this review helpful,2021-06-25, Software Development Engineering In Test II ,Bangalore,,Current Employee, more than 3 years
2,Great place to work for a reason !,5.0,It takes care of its employees and their happiness.,None to share at the moment,Be the first to find this review helpful,2021-06-25, Technical Solutions Engineer ,Bangalore,,Current Employee, more than 1 year
3,One of the best companies to work for,5.0,"- Employee Friendly Policies
- Good Pay
- Sound Business",There are no negatives to mention,Be the first to find this review helpful,2021-06-25, Technical Program Manager II ,Bangalore,,Current Employee, more than 3 years
4,Amazing company to work for,5.0,"Work life balance
Employee friendly
Management open to suggestions, This is by far the best company i have worked for.",nothing that i know of.,Be the first to find this review helpful,2021-06-24, Customer Incident Manager ,Bangalore,,Current Employee, more than 1 year
5,Nice company,4.0,Very nice people at times.,"Awkward at times, not sure why.",Be the first to find this review helpful,2021-06-24, Project Manager ,Boston, MA,Current Employee, more than 8 years
6,Good,5.0,Good company very good company,Nothing is there in cons,Be the first to find this review helpful,2021-06-24, Solutions Architect ,Bangalore,,Current Employee, more than 3 years
7,Great company to work for,5.0,"Very flexible, amazing managers and teammates",no bad things to say,Be the first to find this review helpful,2021-06-24, Senior Software Engineer ,Ottawa, ON,Current Employee, more than 3 years
8,Great work culture,4.0,"work culture and flexibility, good work life balance","layoff is very high, less transparency in management",Be the first to find this review helpful,2021-06-24, Channel Support Manager ,Bangalore,,Current Employee, more than 5 years
9,Good Employer,5.0,Good Employer to work with,Nothing I found as cons,Be the first to find this review helpful,2021-06-23, Business Analyst ,Bangalore,,Current Employee,
