,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,Great Company!,4.0,"Family-like company in a great, interesting industry",Room for growth is limited.,Be the first to find this review helpful,2021-06-29, Information Systems Manager ,Manchester, NH,Current Employee, more than 8 years
1,Great company with srtong traditions,5.0,Very skilled coworkers who can help with almost any problem. Great licensing and tool providing.,Little bit slow bonus and growth increasing. Stock problems in particular region.,Be the first to find this review helpful,2021-06-17, Digital IC Design Engineer ,Kiev,,Current Employee,
2,Train wreck,1.0,I was able to leave and find an intelligent company,All about the Wall Street short term facade. Employees are short term slaves. There is nothing human about Human Resources.,Be the first to find this review helpful,2021-05-28, Engineer ,,,Former Employee, more than 10 years
3,Technical demanding,4.0,"good team athmosphere, market leadership for a limited range of products, good salery","lagging way behind in introducing new product to market, for many products one but last on the market",Be the first to find this review helpful,2021-04-12, Senior Field Applications Engineer ,München," Bavaria, Bavaria",Current Employee,
4,Good company,3.0,Good company. Gained knowledge in different areas.,Additional trainings to all employees,Be the first to find this review helpful,2021-03-29, Engineer ,Manila," Manila, Manila",Former Employee, more than 5 years
5,Good place to work for a couple of years.,3.0,Diverse teams distributed over a couple of countries.,Not much place for personal growth.,Be the first to find this review helpful,2021-03-25, Verification Engineer ,,,Former Employee,
6,Great place to kickstart your career,5.0,Great company culture and team support,Lack of growth opportunities in terms of promotions,Be the first to find this review helpful,2021-03-23, Sales Coordinator ,Chertsey," England, England",Current Employee,
7,Clicky Wall Street atmosphere,2.0,"Used to be a good company, some good people left","All about the bottom line, your job will be moved to the Philippines, expect to be yelled at in meetings, very unprofessional managers/directors/vps, it’s about who you know,",Be the first to find this review helpful,2021-03-05, Electrical Engineer ,Manchester, NH,Former Employee, more than 10 years
8,The core values written on a toilet paper,2.0,Great team (what was left of it),"The core values are nice on the paper but not following it at all.
- ""Collaborate Globally "" - the sales teams are literally fighting over each other on projects. Hey, this is a global world ! Same on the top management, it is a catfight.
- ""Exceed Customer Expectations"" - Allegr cannot even MEET customer expectations.
- ""Empower with Trust"" - this must have been the advice of the consulting company to the CEO himself, obviously he did not take it. Internal atmosphere is toxic, internal communication is on minimum level.",Be the first to find this review helpful,2021-03-03, Account Manager ,,,Current Employee, more than 3 years
9,prodction operator,5.0,good environment and theres a lot of benifits,long hour of work and shifting,Be the first to find this review helpful,2021-02-25, Production Operator ,Paranaque City,,Current Employee, more than 3 years
10,good company,3.0,"pleasant place to work, nice people",none to report so far,Be the first to find this review helpful,2021-02-16, Data Analyst ,Marlborough, MA,Former Employee, more than 1 year
11,"Toxic, overcooked, the emperor has no clothes.",1.0,"They will squeeze the very best out of you,  every drop.  If your ideal job idea is to row a boat while someone is beating a drum, please stop reading immediately and start applying. We have many vacancies. The turnover is a lot, so you get to choose the drum to go rowing with, no one cares about the boat going in circles.","One of the worst work-life balance imaginable. The manager publicly mocked efforts to try to solve it. The pandemic removed any barriers provided by the office and commute, so the situation has gotten worse now.

Age-based holiday policy. Spouses are not allowed to join benefits programme and extremely high turnover of other staff. 

Employees who asked professional but tough questions were no longer invited and seemed to disappear completely. Entire department moved overseas overnight. There seemed to be no real work plan. Everyone left is holding the bag and wondering where to go.",1 person found this review helpful,2021-02-09, Anonymous Employee ,Manchester, NH,Current Employee, more than 5 years
12,Great company!,4.0,Great company to work! Nice people!,I don't have any drawbacks,Be the first to find this review helpful,2021-02-08, Anonymous Employee ,,,Current Employee,
13,Good Company,4.0,Salary and benefits are okay.,Work-to-manpower ratio. Certain teams doesn't have work-life balance.,Be the first to find this review helpful,2021-02-06, Test Engineer ,Parañaque,,Former Employee, more than 5 years
14,Great place to work,5.0,"Flexible work schedule, growth available","Short schedules on products, no defined procedures",Be the first to find this review helpful,2021-02-02, Product Engineer ,Manchester, NH,Current Employee, more than 8 years
15,Allegro Microsystems review,4.0,Good working environment. Satisfactory compensation.,"No negatives, Very good employer, would recommend",Be the first to find this review helpful,2021-01-20, Digital Design Engineer ,Edinburgh," Scotland, Scotland",Current Employee,
16,Great company,5.0,Innovative design work and good company culture,Smaller company means that economies of scale can hurt,Be the first to find this review helpful,2021-01-13, Senior Analog Mixed Signal Design Engineer ,Edinburgh," Scotland, Scotland",Current Employee,
17,"Solid work, good people",5.0,My supervisor encouraged me to give my best work while still caring about my personal well-being.,"If you’re not actively interested in the development of automotive electronics, the work can be at turns boring and stressful.",Be the first to find this review helpful,2020-11-17, Systems Engineer ,,,Former Employee,
18,This company is a pro-employee company,5.0,Their is a room for career growth,The company should improve health benefits,Be the first to find this review helpful,2020-11-12, Laboratory Engineering Supervisor ,Bicutan,,Current Employee, more than 1 year
19,,5.0,they do care about residents and staff,their benefits and health insurance,Be the first to find this review helpful,2020-09-30, Anonymous Employee ,,,Current Employee, more than 1 year
20,Very Supportive Team,5.0,Can help you with all your concerns.,Need employees advance training for them to be more flexible.,Be the first to find this review helpful,2020-09-22, Electronics Engineer ,Saraburi,,Current Employee, more than 5 years
21,Good company for a college graduate.,3.0,Dynamic environment and challenging projects. Good benefits.,Outdated procedures and management practices. Limited career growth opportunity.,1 person found this review helpful,2020-01-02, Product Development Engineer ,Manchester, NH,Former Employee, more than 10 years
22,A dying dissaster,1.0,Some of the sharpest collection of engineers.,"Salaries are well below market, management promotes based on politics and the ""old boys club"" and ignores performance. Management is not constructive, does not foster growth and development, does not recognize nor reward employee sacrifices and contributions, and has steered the ship right for the rocks. Over the years, this has turn a fast and flexible company with aspiring products and a family feel to a toxic workplace and declining global market share.

The recent building expansion exemplifies the culture issue, where the ""Executive"" side of the office has become more spacious and extravagant, while the rank and file are now herded like cattle in veal pens. Not to mention the multi-million dollar facilities expansion at a time when revenues are down indicates very poor planning and decision making. It's been no secret the that global automotive industry was going to retract and see record declines as the entire industry transforms, yet management did little to diversify.",5 people found this review helpful,2019-12-16, Senior Associate ,Manchester, NH,Former Employee, more than 10 years
23,Failure analysis,4.0,"good reviews, but does not reveal salary cap.",Bad benefits. somehow substandard. but its ok,Be the first to find this review helpful,2019-08-30, Failure Analysis Engineer ,,,Former Employee, more than 1 year
24,Experience,3.0,Coworkers are great and supervisor,"Food, you are not allowed to go out to buy foods, you have eat in their own canteen and higher management is worst",Be the first to find this review helpful,2019-07-31, Systems Technician ,Paranaque City,,Former Employee, more than 3 years
25,Great,5.0,Very good work environment and helpful colleagues. Being smaller design you get to handle entire chip and learn entire verification process. Very good experience for a beginner.,Technology is outdated and design is not very complex. Salary is not very competitive.,Be the first to find this review helpful,2019-07-11, Digital Verification Engineer ,Manchester, NH,Current Employee, more than 1 year
26,Working at Allegro MICROSYSTEMS,5.0,"Great company, nice co-workers, great technology, lead in many areas","Some internal politics, some clicks,",Be the first to find this review helpful,2019-06-02, Director of Sales ,Asia,,Former Employee, more than 10 years
27,Wouldn’t recommend to an honest person,1.0,"Decent pay, above average. Made some great friends there, most of them don’t work there any longer. The production floor really felt like a family.","Lay offs, specs constantly changing, no communication, sneaky/secretive management style, HR on board with lying about employees, nepotism, favoritism, big egos, disposable employees, work sent to Asia, unkept promises.",6 people found this review helpful,2019-05-31, Technician ,Manchester, NH,Former Employee, more than 8 years
28,Product Engineer,4.0,"High salary, good working environment, good benefits.","Work pressure, high-demanding work, too many tasks.",Be the first to find this review helpful,2019-02-25, Engineer ,Manila," Manila, Manila",Current Employee, less than 1 year
29,Innovative company in a growth mode,5.0,"Highly technical talent working on innovative products
Great US facilities - all new
Great teamwork
Focused on growth",Infrastructure needs on-going investment to support growth,Be the first to find this review helpful,2019-02-11, Anonymous Employee ,Manchester, NH,Current Employee, more than 1 year
30,"Fast pace, minimal structure",3.0,Easy to work outside of your job function,Very little structure on job ownership,Be the first to find this review helpful,2018-12-08, Anonymous Employee ,,,Former Employee,
31,Good working culture!,4.0,"As the teams are small, you get to learn the whole cycle in the design.",No cons. Good place to start with.,Be the first to find this review helpful,2018-10-14, Design Engineer ,Manchester, NH,Former Employee, less than 1 year
32,Operator,1.0,Healthcare is still better than most,Employees are always disposable and frequently reminded of that.,Be the first to find this review helpful,2018-08-25, Fab Operator ,Worcester, MA,Former Employee, more than 5 years
33,Abuse of their dominant position in South America,2.0,One of the very few IC companies with design centers in South America.,"Sub-par salary.

Unpaid overtime is a constant.

Disregard for local labour law.

Management seems too focused on short term profits and is not receptive to feedback.

General disregard for employees well being and personal fulfillment.",Be the first to find this review helpful,2018-06-21, Anonymous Employee ,,,Former Employee, more than 1 year
34,"A booming environment, with great potential",5.0,"-  Very innovative
- Lots of growth potential
- Good benefits.",- Currently Manchester is going through construction which can be loud at times,1 person found this review helpful,2018-06-08, Anonymous Employee ,,,Current Employee,
35,production,1.0,"401k match, friendly co workers","dishonest to employees, long shift",Be the first to find this review helpful,2018-01-06, Anonymous Employee ,,,Former Employee,
36,"Decent company, but limited growth opportunities",3.0,"Overall the people are great
The benefits are pretty good. ""competitive""
The two locations in New England are conveniently located
Matching 401k is very nice","Limited career growth opportunities
Good work gets rewarded with more work instead of more pay
High level of micro-management at the top
Highly political",3 people found this review helpful,2017-11-18, Anonymous Employee ,,,Current Employee,
37,Semiconductor Production,3.0,Job keeps you busy when there is work,Having to take up slack for people with low moral and standards.,2 people found this review helpful,2017-10-25, Anonymous Employee ,,,Former Employee,
38,Growth,5.0,Growing company with strong product lines. Great people! Career advancement opportunities.,Lots of anxiety surrounding all the companies changes.,Be the first to find this review helpful,2017-10-21, Anonymous Employee ,Manchester, NH,Current Employee, more than 5 years
39,test,3.0,nice place good people possibilities,under  paid no clear tasks,Be the first to find this review helpful,2017-10-19, Anonymous Employee ,,,Former Employee,
40,Manager,1.0,Not a long commute from home,"Terrible Management.  Mistreat employees, make very poor decisions.  Executives are solely concerned with lining their pockets.",Be the first to find this review helpful,2017-10-11, Anonymous Employee ,,,Former Employee,
41,Great company,5.0,"Great benefits, fantastic people to work with, bosses are all friendly, flexible schedules, etc","Campus is a little beat up, but so far that's really it.",Be the first to find this review helpful,2017-08-27, Development Product Engineer ,Manchester, NH,Current Employee, less than 1 year
42,Business development manager,4.0,"They got excellent products, nice working scope, and western management style! Good working environment between sales team and business unit.",salary is below average and the hiring process is slow. The entire response is way below the companies in states.,Be the first to find this review helpful,2017-08-01, Business Development Manager ,,,Current Employee, more than 5 years
43,depends on the department,3.0,"good benefits, pay is good, they tend to compensate good employees to keep them","some managers are two faced and will throw their employees under the bus, a number of higher up managers are unprofessional, very clicky with management",2 people found this review helpful,2017-07-12, Product Engineer ,,,Current Employee, more than 10 years
44,PDE,4.0,Takes great care of good employees,Busy periods and slow periods,Be the first to find this review helpful,2017-05-01, Anonymous Employee ,,,Current Employee,
45,Nice company,5.0,"Nice people, lots of different work","Company is originally mostly analogue, so all design structures are analogue based.",Be the first to find this review helpful,2017-03-04,  ,,,Current Employee,
46,Manufacturing supervisor,5.0,Very good company to work for. Been here 23 years.,12  hour shifts,Be the first to find this review helpful,2017-01-07, Anonymous Employee ,Worcester, MA,Current Employee,
47,worcester isn't exactly silicon valley,2.0,"decent, relaxed atmosphere. people are friendly enough. free coffee and use of fitness center.",outdated thinking/mindset. closed company culture with little emphasis on fresh thinking. seems very detached from other semiconductor companies. lacks vitality and new approaches. also the place is kinda dingy looking.,Be the first to find this review helpful,2016-12-20, Anonymous Employee ,Worcester, MA,Former Employee, less than 1 year
48,Good employer,4.0,"Good benefits, great location. Many opportunities to work with many different groups and with company associates in different countries.",I have no cons to mention.,Be the first to find this review helpful,2016-09-19, Anonymous Employee ,,,Former Employee,
49,Accounting Department,5.0,"Great staff, company to work for.   Communication with departments is easy.  Great Company to work for.",Nothing that I can think of.,Be the first to find this review helpful,2016-08-08,  ,,,Former Employee,
50,fast pace development schedule,4.0,I work with a lot of good engineers.,The development schedule is crazy.,Be the first to find this review helpful,2016-07-26, Anonymous Employee ,,,Current Employee,
51,Great Start,4.0,"Great place to start career.  Interesting work and nice challenges.  Room for growth and development, and learning industry standards.",Deadlines aren't always real enough for all members of a group.  And seem to be pushed out for projects when things aren't ready.,Be the first to find this review helpful,2016-06-02, Anonymous Employee ,,,Current Employee,
52,Allegro Review,4.0,The group I'm working in has the best boss I could ever have hoped to have. I don't know if I'd still be here if it wasn't for my manager.,The organization and structure of some departments is terrible. Something has to be done about how system is split up in both facilities.,2 people found this review helpful,2016-04-13, Anonymous Employee ,,,Current Employee,
53,"Love the people I work with, don't like the direction of the company",3.0,"Depending on the department, you get to work with a lot of fun and passionate people. Company seems to be pretty stable, but isn't going up anytime soon.","Great lack of resources and understaffed engineering team. Overall environment isn't that great - very department specific.

Japanese style business culture.",5 people found this review helpful,2016-02-22,  ,,,Current Employee,
54,Great experience,5.0,"Great leadership, cares about their employees, supervisor really wanted me to learn and be hands on in the projects",Location isn't that fun for young employees,2 people found this review helpful,2015-10-14,  ,,,Former Employee,
55,Allegro is a great sensor IC company.,4.0,Not a very big company so you get responibility as well as the chance to work on interesting projeccts. Its a good combination of IC level and system level engineering.,I would say one of the cons would be that the projects tend to be very long due to the automotive qualification processes that they have to pass. this can sometimes lead to several iterations of products.,1 person found this review helpful,2015-09-06, Anonymous Employee ,,,Current Employee,
56,Digital Verification Engineer,4.0,Very good to place. Real time flexibility.,Real hard to sometimes get new ideas across.,Be the first to find this review helpful,2015-08-10, Digital Verification Engineer ,,,Former Employee,
57,Digital Verification Engineer,4.0,Really good people. Good job and not too time consuming.,Not many career opportunities. You will probably end up in the same position forever or just change jobs.,Be the first to find this review helpful,2015-07-02, Digital Verification Engineer ,Manchester, NH,Current Employee, more than 1 year
