,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,ADS REview,1.0,growth story and product pipeline,short term focus on customers and bottom line,Be the first to find this review helpful,2021-06-29, Vice President Finance ,Columbus, OH,Current Employee,
1,Very specialised knowledge,5.0,Intelligent special offers this season,An argument or opinion against something.,Be the first to find this review helpful,2021-06-25, DATA FILE ANALYST ,New Delhi,,Current Employee,
2,Avoid,3.0,"Make your own schedule from Sunday to Saturday. In this position, you can log into the system and change your schedule the day/night before.
Generous pay with decent bonuses.
Nice amount of PTO. 
Ok insurance plan, pretty affordable and start within a week or two of you starting.
401k match (I believe it was 5% match). Immediately vested.
Lots of professional development, and learning opportunities.
Understanding supervisors who understood stuff happens and authorized time off in other jobs that wouldn't.
Some of the bosses (team leads, supervisors, and managers) really want to listen and improve themselves to be better bosses.
Lots of games/contests to win prizes (gift cards & cash).
Holiday dinners (during the lunch time) free. Yearly holiday bonus.
Can work remotely with nearly all of their positions.","Their computer systems are always going down. Their main systems were developed in house, I believe, and they keep those systems when other systems might be better. 
Customers make it stressful as they yell and are very demanding. Imagine having an argument for your whole shift as for many customers go to war to talk with us. 
Company does not care about the customers. All they care about is money (more on that later!)
Some of the team leads, supervisors, and managers do NOT care what goes on which violate laws and/or their own policy and procedures. (more on that later!)
They claim ""family"" environment, but it's just another job. You don't fire grandma, and they shouldn't either. 
They claim ""an open door policy"" but it isn't. Many individuals in power go behind your back and tell whatever you said to the person you were reporting. Or, they will ignore or take no action when they should. 
In the last three years they've been through 3 (yes, you read that right! THREE!) CEOs. Obviously, they DO NOT care about the employees as they claim (remember they said we're family, right?) nor do they care about the customers! 
They fire departments the day of without notice. Yes, they may have gotten a severance package, but remember they're family and have an open door policy. Why are you firing grandma, mom, brother and sister? (Obviously, I'm being factious here to a point, BUT you see they don't ""do as they say"" or what they publish.) They've had many lay offs recently to my knowledge, two in 2019, two in 2020 and one in 2021. 
They hire foreign people instead of local people to save money. Remember how former President Trump said to keep jobs here? Well, Alliance Data Systems did not care. They fired multiple departments. But, hey, we're family and have an open door policy (NOT!). 
Now more about my job - they do not care about the customers. They want them to pay all the fees. They LEGIT wanted us to waive only $5 of a $30/$40 late fee to help the customer out. I've never in my life had a creditor only offer a partial refund of a late fee. Also, we have to obtain many numbers so we have to get the customers to pay so many coworkers cheat to get them. Yes, you guessed it, the higher up positions simply do not care if you cheat as they do nothing if the person gets reported. 
In the end, you'll likely end up hating your life as you don't like the people you interact with: the customers and your coworkers. I now suffer from PTSD and very bad anxiety. 
Do not listen to all the fluff they say. Do what's best for you if you decide to work here. They see you just as a number. As you should see them, just as another employer who you do your job well and clock out. Don't let them make you feel bad if you can't participate in over time or their charities - they do do that, too, make you feel bad because YOU don't (or can't) work OT or donate to the charities they're sponsoring. In the end, I wouldn't recommend them but if you do decide to work there, please research them as I am not lying about anything I said.",Be the first to find this review helpful,2021-06-24, Collector ,Columbus, OH,Current Employee, more than 5 years
3,Overall pretty good,4.0,"Great bonuses and pay, awesome benefits, work from home.","Typical office politics, rules constantly changing so hard to get in a groove.",Be the first to find this review helpful,2021-06-24, Collector ,Milford, OH,Former Employee, more than 1 year
4,Fortune 500 company yet small and growing,4.0,"Work culture 
Work life balance
Adequate resources for work from home
Work from home
Premium policies","Outdated processes
Corporate approach
Repeated work
Lack of smart people in team",Be the first to find this review helpful,2021-06-22, Marketing Performance Analyst ,Bangalore,,Current Employee, more than 1 year
5,Not great,3.0,The pay is pretty ok,"The customers, the hours, the job itself, no real advancement, the constant breathing down your neck to make their metrics",1 person found this review helpful,2021-06-19, Customer Service Representative ,Lenexa, KS,Current Employee, more than 1 year
6,"Great company, especially for a company of it's size.",4.0,"It was a portfolio company that had many business lines but the core Alliance Data team really cared about the employees, provided great benefits and made the effort to be a great place to work.",Finding job opportunities across business lines was not easy for employees to navigate.,Be the first to find this review helpful,2021-06-17, Human Resources Director ,,,Former Employee, more than 3 years
7,Fraud analyst,2.0,Good benefits and work from home.,Doesn’t really give raises outsources pretty much lies.,Be the first to find this review helpful,2021-06-14, Fraud Analyst ,Coeur d'Alene, ID,Former Employee, more than 1 year
8,Resolution Specialist,3.0,"Great benefits, flexible hours, Being able to work from home, Great management.","Irate customers, computers/systems not updated, procedures not updated,",Be the first to find this review helpful,2021-06-08, Collections Representative ,Columbus, OH,Current Employee,
9,Great new direction,5.0,Current leadership has attainable company goals and vision.,No cons at this time,Be the first to find this review helpful,2021-06-03, Compliance Senior Analyst ,Columbus, OH,Current Employee, more than 1 year
