,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,Alteryx,2.0,Alteryx has a great work life balance.,Alteryx does not support continuous education for their employees.,2 people found this review helpful,2021-06-30, Senior Risk and Compliance Analyst ,Dana Point, CA,Current Employee,
1,Right culture for drive,5.0,"Culture, mindset, commitment, focus, great product",Employer brand has to be improved as it is in the German market relatively unknown,Be the first to find this review helpful,2021-06-29, Anonymous Employee ,,,Current Employee, more than 1 year
2,Good experience extremely low wages,2.0,Very welcoming of new people and learning,"Low salaries compared to other tech companies. 
Constant change in direction. 
Promotions are very questionable.",2 people found this review helpful,2021-06-25, Anonymous Employee ,,,Former Employee, more than 1 year
3,na,4.0,great product in a strong market,none i can think of,Be the first to find this review helpful,2021-06-25, Enterprise Account Executive ,,,Current Employee,
4,Comp,4.0,product is ggreat and used acorss the big 4 and consulting firms,technical product - need the right audience,Be the first to find this review helpful,2021-06-24, Account Executive ,New York, NY,Former Employee, more than 1 year
5,"Great product, dysfunctional C-suite",3.0,"Technology is fantastic. Designer is a great product. The offices are really nice and have tons of amenities. Some people maintain decent work life balance, some don't - it really depends on your manager.","Executive leadership is the biggest mess I've ever seen. The CMO is a literal robot of a human being with zero communication skills and an impossible micro-management leadership style. She manages two full departments for some reason and has way too many direct reports. Watching the SVPs all try to anticipate and accommodate her constantly changing opinions is hilarious. 

The CEO tried and failed to to convince the company he cares about DE&I. Company wide meetings addressing a racist c-level exec who was was fired within two weeks were a train wreck. No one expects tech companies to be all that socially aware but I've heard more sophisticated conversations about race and equity from children.",7 people found this review helpful,2021-06-23, Anonymous Employee ,,,Current Employee, more than 3 years
6,Great company,5.0,"Great Culture and people, awesome customers and a fantastic product-market fit",Going thru transformation across the company.,Be the first to find this review helpful,2021-06-22, Anonymous Employee ,,,Current Employee, less than 1 year
7,Too much KPI focus,2.0,good product and market opportunity,management and high turnover of staff,2 people found this review helpful,2021-06-18, Sales Development ,,,Current Employee,
8,great product - changing culture,3.0,"great product, great customers, excellent community","too many new processes, management always changing",Be the first to find this review helpful,2021-06-08, Enterprise Sales Executive ,Dubai,,Current Employee, more than 5 years
9,Great company,5.0,great company to work for,There are no cons with this compnay,Be the first to find this review helpful,2021-06-07, Account Manager ,Irvine, CA,Current Employee,
10,Used to be good,2.0,"Smart and nice people
Good product","Used to be great culture before the leadership change. 
Leadership only cares about money rather than growing culture and investing in talents.
Those who deserve to get promoted, didn't get promoted. 
If you are unlucky, you may get a manager, who just got promoted and doesn't have managerial skillsets to do their jobs right.",5 people found this review helpful,2021-06-06, Sales Engineer ,Irvine, CA,Former Employee,
11,Great company,5.0,"Great culture, inclusive, community, really good people who care and are trying to work together.",Work-life balance can be tricky in some roles...like PM.,Be the first to find this review helpful,2021-06-02, Senior Product Manager ,Broomfield, CO,Current Employee, more than 1 year
12,Company with great potential!,4.0,Growing organisation. Management team is growing and more structure are put in place.,"As the team grows, structure sets in, things get more rigid as well. Growing pain.",Be the first to find this review helpful,2021-06-02, Anonymous Employee ,Singapore,,Former Employee, more than 3 years
13,GOod Software,4.0,Product works well and customers benefit,Leadership change and high turnover,Be the first to find this review helpful,2021-05-28, Account Executive ,,,Current Employee,
14,great product and company,4.0,"amazing customers
great product
huge network of partners
proven tech",lot of management changes recently but hopefully this will settle soon,Be the first to find this review helpful,2021-05-27, Regional Sales Director ,London," England, England",Current Employee, more than 1 year
15,Alteryx is good place for experienced engineers,4.0,"Friendly environment inside the company, quite well benefits",Product Management doesn't know what they wanna to build.,Be the first to find this review helpful,2021-05-24, Team Leader ,Kiev,,Former Employee, more than 1 year
