,Summary,OverallRating,Pros,Cons,Helpful,date,Position,City,State,Status,Tenure
0,"If you can put the work in you can make a good living, but it's a lot of miserable work",2.0,"Decent pay, good work colleagues","Awful conditions to work in, managers are more like car salesman there to sell the dream",Be the first to find this review helpful,2021-07-01, Sales Representative ,,,Former Employee,
1,Good job,3.0,Flexible schedule co workers were good overtime availability,Management changed and stop caring about customers and employees. No real advancement,Be the first to find this review helpful,2021-06-30, Dispatcher ,,,Former Employee,
2,Poor management,1.0,"Pay is competitive 
Benefits are fair","It’s a vice working there between demanding customers and managers 
Constant shift changes.",Be the first to find this review helpful,2021-06-30, Customer Service Representative (CSR) ,Jericho, NY,Former Employee, more than 8 years
3,Run away,2.0,"If you are lucky, very good work environment",You will never get a pay raise.,Be the first to find this review helpful,2021-06-28, Cyber Security Engineer ,Lisbon,,Former Employee, more than 10 years
4,It's a job,3.0,"cheap insurance
easy work
could get lost in the system",not able to move up quickly,Be the first to find this review helpful,2021-06-24, Design Technician ,,,Current Employee, more than 1 year
5,Call center,3.0,Incentives are given to reps daily,High turnover rate with this company,Be the first to find this review helpful,2021-06-24, Call Center Representative ,,,Former Employee, less than 1 year
6,Liked it but cheap,3.0,Good working environment; great people,The company needs to pay its employees better,Be the first to find this review helpful,2021-06-15, Customer Service Representative (CSR) ,,,Former Employee, more than 3 years
7,Tough job but rewarding,2.0,Pay is nice and the supervisors are great,"Constantly getting door slammed in your face and no overtime although u r expected to work more hours,",Be the first to find this review helpful,2021-06-08, D2d Sales Representative ,Jersey City, NJ,Former Employee, less than 1 year
8,Difficult Work/Life Balance,3.0,"Efficient operation mindset, forward thinking","Too many initiatives, too little resources",Be the first to find this review helpful,2021-06-07, Senior Director ,Bethpage, NY,Former Employee, more than 5 years
9,Managers micromanage,2.0,Direct sales managers micromanage if your numbers ever fall. They constantly monitor your gps. If you spend too long in the bathroom at a cvs you ll get a call if you had a bad sales week. Otherwise pretty cool.,Knocking doors in sometimes unsafe areas. They ensure you are knocking until 9 pm even in winter. Management will bring a flash light out for you and walk with you if they don’t think you are knocking last dark. Pretty awesome.,Be the first to find this review helpful,2021-06-04, Direct Sales Representative ,Newark, NJ,Former Employee,
10,Not the best culture,4.0,"Competitive salary, flexible work schedule","Culture, lack of empathy for employees",Be the first to find this review helpful,2021-05-28, Business Retention/Sales Supervisor ,,,Current Employee, more than 5 years
11,bad,1.0,cheap cable for all employees,no work life balance at all,Be the first to find this review helpful,2021-05-26, Worker ,Newark, NJ,Current Employee,
12,Do not work in this place,2.0,"None, horrible conditions an d management",Horrible hours and bad pay,Be the first to find this review helpful,2021-05-20, Assistente Backoffice ,Lisbon,,Current Employee,
13,Avoid if you can,1.0,Still thinking to discover some,Compensation and motivation are non existant. Focus on the short term and profits over people,Be the first to find this review helpful,2021-05-19, Director ,Lisbon,,Former Employee, more than 3 years
14,Company sucks,1.0,"No good reasons, they stripped all our benefits",They don’t care about employees,Be the first to find this review helpful,2021-05-11, Customer Service Representative ,,,Current Employee,
15,Company that always looks for innovation,5.0,Good place to learn new technologies,Integration process with workmates wasn't good,Be the first to find this review helpful,2021-05-09, Internship ,,,Current Employee,
16,Don’t waste your time!,1.0,Benefits at start of job,Hostile environment allowed by management,Be the first to find this review helpful,2021-05-07, Direct Sales Representative ,Tinton Falls, NJ,Former Employee, less than 1 year
17,Consultante,4.0,"good environment, formations, workshops, processes and nothing else","salaries, Working hours, too many people and lack of opportunities",Be the first to find this review helpful,2021-05-03, Consultante ,,,Former Employee, more than 5 years
18,Positive,3.0,Wide spectrum of knowledge gained,"Salaries, level upgrade, low bonus",Be the first to find this review helpful,2021-05-03, Data Engineer ,Porto," Oporto, Oporto",Current Employee,
19,Ok,3.0,Good place to work. Good people,Far away from center with bad transportation,Be the first to find this review helpful,2021-05-03, Software Developer ,Tel Aviv-Yafo,,Current Employee, more than 8 years
20,.....,2.0,Free cable if you're in the footprint,"management is caring less and less about non corporate employees.
Hard to take time off, never gets approved.",Be the first to find this review helpful,2021-04-30, Tech Support ,,,Former Employee, more than 3 years
21,Na,1.0,None job sucks wouldn’t recommend,Dying company please save yourself,Be the first to find this review helpful,2021-04-30, Sales Representative ,,,Current Employee,
22,If you can handle the pressure this job is for you,3.0,"Coaching, training, time off, good benefits","Restricted schedule, pressure to reach goals",Be the first to find this review helpful,2021-04-29, Inbound Sales Representative ,Piscataway, NJ,Current Employee, more than 1 year
